# 网络仿真脚本 - 波动网络场景
# 总时长: 1200秒 (1200000ms)
# 格式: 开始时间(ms) 持续时间(ms) 带宽(Mbps) 延迟(ms) 丢包率(‰) 描述
#
0 10000 95 198 7 阶段1: 低拥塞-时间段1
10000 10000 90 200 8 阶段1: 低拥塞-时间段2
20000 10000 90 200 8 阶段1: 低拥塞-时间段3
30000 10000 90 195 7 阶段1: 低拥塞-时间段4
40000 10000 90 190 6 阶段1: 低拥塞-时间段5
50000 10000 93 195 8 阶段1: 低拥塞-时间段6
60000 10000 90 185 8 阶段1: 低拥塞-时间段7
70000 10000 97 200 8 阶段1: 低拥塞-时间段8
80000 10000 90 176 7 阶段1: 低拥塞-时间段9
90000 10000 100 188 7 阶段1: 低拥塞-时间段10
100000 10000 90 187 7 阶段1: 低拥塞-时间段11
110000 10000 95 192 7 阶段1: 低拥塞-时间段12
120000 10000 97 188 8 阶段1: 低拥塞-时间段13
130000 10000 99 184 7 阶段1: 低拥塞-时间段14
140000 10000 96 190 7 阶段1: 低拥塞-时间段15
150000 10000 99 179 7 阶段1: 低拥塞-时间段16
160000 10000 93 180 6 阶段1: 低拥塞-时间段17
170000 10000 93 200 7 阶段1: 低拥塞-时间段18
180000 10000 90 200 8 阶段1: 低拥塞-时间段19
190000 10000 90 182 6 阶段1: 低拥塞-时间段20
200000 10000 91 198 6 阶段1: 低拥塞-时间段21
210000 10000 91 192 6 阶段1: 低拥塞-时间段22
220000 10000 94 189 7 阶段1: 低拥塞-时间段23
230000 10000 97 188 8 阶段1: 低拥塞-时间段24
240000 10000 90 184 7 阶段1: 低拥塞-时间段25
250000 10000 94 183 7 阶段1: 低拥塞-时间段26
260000 10000 95 199 8 阶段1: 低拥塞-时间段27
270000 10000 90 200 7 阶段1: 低拥塞-时间段28
280000 10000 98 176 7 阶段1: 低拥塞-时间段29
290000 10000 90 200 7 阶段1: 低拥塞-时间段30
300000 10000 90 178 7 阶段1: 低拥塞-时间段31
310000 10000 96 190 7 阶段1: 低拥塞-时间段32
320000 10000 100 178 6 阶段1: 低拥塞-时间段33
330000 10000 99 190 8 阶段1: 低拥塞-时间段34
340000 10000 91 193 7 阶段1: 低拥塞-时间段35
350000 10000 90 200 8 阶段1: 低拥塞-时间段36
360000 10000 95 175 8 阶段1: 低拥塞-时间段37
370000 10000 98 182 7 阶段1: 低拥塞-时间段38
380000 10000 90 200 6 阶段1: 低拥塞-时间段39
390000 10000 98 200 7 阶段1: 低拥塞-时间段40
400000 10000 80 477 60 阶段2: 高拥塞-时间段1
410000 10000 70 506 66 阶段2: 高拥塞-时间段2
420000 10000 73 499 56 阶段2: 高拥塞-时间段3
