# 网络仿真脚本 - 低-高-低拥塞场景
# 总时长: 1200秒 (1200000ms)
# 格式: 开始时间(ms) 持续时间(ms) 带宽(Mbps) 延迟(ms) 丢包率(‰) 描述
#
0 10000 90 113 9 阶段1: 低拥塞-时间段1
10000 10000 97 109 9 阶段1: 低拥塞-时间段2
20000 10000 99 104 8 阶段1: 低拥塞-时间段3
30000 10000 92 115 8 阶段1: 低拥塞-时间段4
40000 10000 90 115 9 阶段1: 低拥塞-时间段5
50000 10000 92 105 8 阶段1: 低拥塞-时间段6
60000 10000 90 108 9 阶段1: 低拥塞-时间段7
70000 10000 90 100 9 阶段1: 低拥塞-时间段8
80000 10000 97 105 8 阶段1: 低拥塞-时间段9
90000 10000 98 104 9 阶段1: 低拥塞-时间段10
100000 10000 98 101 8 阶段1: 低拥塞-时间段11
110000 10000 95 110 8 阶段1: 低拥塞-时间段12
120000 10000 90 115 9 阶段1: 低拥塞-时间段13
130000 10000 91 111 8 阶段1: 低拥塞-时间段14
140000 10000 90 117 9 阶段1: 低拥塞-时间段15
150000 10000 96 103 8 阶段1: 低拥塞-时间段16
160000 10000 92 112 8 阶段1: 低拥塞-时间段17
170000 10000 100 100 8 阶段1: 低拥塞-时间段18
180000 10000 90 109 9 阶段1: 低拥塞-时间段19
190000 10000 90 114 8 阶段1: 低拥塞-时间段20
200000 10000 90 107 8 阶段1: 低拥塞-时间段21
210000 10000 90 112 9 阶段1: 低拥塞-时间段22
220000 10000 96 100 8 阶段1: 低拥塞-时间段23
230000 10000 94 101 8 阶段1: 低拥塞-时间段24
240000 10000 90 114 9 阶段1: 低拥塞-时间段25
250000 10000 90 113 8 阶段1: 低拥塞-时间段26
260000 10000 99 111 8 阶段1: 低拥塞-时间段27
270000 10000 90 113 8 阶段1: 低拥塞-时间段28
280000 10000 99 102 8 阶段1: 低拥塞-时间段29
290000 10000 100 115 8 阶段1: 低拥塞-时间段30
300000 10000 94 108 8 阶段1: 低拥塞-时间段31
310000 10000 100 112 9 阶段1: 低拥塞-时间段32
320000 10000 93 106 7 阶段1: 低拥塞-时间段33
330000 10000 91 109 8 阶段1: 低拥塞-时间段34
340000 10000 99 110 9 阶段1: 低拥塞-时间段35
350000 10000 98 113 8 阶段1: 低拥塞-时间段36
360000 10000 95 107 9 阶段1: 低拥塞-时间段37
370000 10000 100 103 9 阶段1: 低拥塞-时间段38
380000 10000 92 107 7 阶段1: 低拥塞-时间段39
390000 10000 97 117 9 阶段1: 低拥塞-时间段40
400000 10000 70 408 164 阶段2: 高拥塞-时间段1
410000 10000 79 431 186 阶段2: 高拥塞-时间段2
420000 10000 70 465 177 阶段2: 高拥塞-时间段3
430000 10000 78 436 146 阶段2: 高拥塞-时间段4
440000 10000 70 400 144 阶段2: 高拥塞-时间段5
450000 10000 80 400 149 阶段2: 高拥塞-时间段6
460000 10000 70 470 192 阶段2: 高拥塞-时间段7
470000 10000 80 400 188 阶段2: 高拥塞-时间段8
480000 10000 70 400 171 阶段2: 高拥塞-时间段9
490000 10000 70 452 200 阶段2: 高拥塞-时间段10
500000 10000 70 414 180 阶段2: 高拥塞-时间段11
510000 10000 79 407 175 阶段2: 高拥塞-时间段12
520000 10000 70 400 158 阶段2: 高拥塞-时间段13
530000 10000 75 477 170 阶段2: 高拥塞-时间段14
540000 10000 70 400 184 阶段2: 高拥塞-时间段15
550000 10000 79 400 144 阶段2: 高拥塞-时间段16
560000 10000 73 400 149 阶段2: 高拥塞-时间段17
570000 10000 76 400 155 阶段2: 高拥塞-时间段18
580000 10000 73 400 146 阶段2: 高拥塞-时间段19
590000 10000 70 400 169 阶段2: 高拥塞-时间段20
600000 10000 70 400 146 阶段2: 高拥塞-时间段21
610000 10000 70 400 139 阶段2: 高拥塞-时间段22
620000 10000 72 470 176 阶段2: 高拥塞-时间段23
630000 10000 70 479 168 阶段2: 高拥塞-时间段24
640000 10000 70 433 159 阶段2: 高拥塞-时间段25
650000 10000 70 400 153 阶段2: 高拥塞-时间段26
660000 10000 70 456 159 阶段2: 高拥塞-时间段27
670000 10000 70 400 190 阶段2: 高拥塞-时间段28
680000 10000 70 452 177 阶段2: 高拥塞-时间段29
690000 10000 70 400 200 阶段2: 高拥塞-时间段30
700000 10000 76 448 171 阶段2: 高拥塞-时间段31
710000 10000 70 465 138 阶段2: 高拥塞-时间段32
720000 10000 80 478 144 阶段2: 高拥塞-时间段33
730000 10000 72 400 198 阶段2: 高拥塞-时间段34
740000 10000 70 460 152 阶段2: 高拥塞-时间段35
750000 10000 70 400 177 阶段2: 高拥塞-时间段36
760000 10000 80 463 144 阶段2: 高拥塞-时间段37
770000 10000 70 426 147 阶段2: 高拥塞-时间段38
780000 10000 74 400 153 阶段2: 高拥塞-时间段39
790000 10000 70 400 151 阶段2: 高拥塞-时间段40
800000 10000 99 119 4 阶段3: 低拥塞-时间段1
810000 10000 100 119 5 阶段3: 低拥塞-时间段2
820000 10000 97 107 4 阶段3: 低拥塞-时间段3
830000 10000 100 105 5 阶段3: 低拥塞-时间段4
840000 10000 100 105 4 阶段3: 低拥塞-时间段5
850000 10000 90 105 4 阶段3: 低拥塞-时间段6
860000 10000 94 121 4 阶段3: 低拥塞-时间段7
870000 10000 96 105 4 阶段3: 低拥塞-时间段8
880000 10000 90 112 5 阶段3: 低拥塞-时间段9
890000 10000 100 100 5 阶段3: 低拥塞-时间段10
900000 10000 92 118 5 阶段3: 低拥塞-时间段11
910000 10000 96 119 5 阶段3: 低拥塞-时间段12
920000 10000 94 121 4 阶段3: 低拥塞-时间段13
930000 10000 100 103 5 阶段3: 低拥塞-时间段14
940000 10000 100 110 4 阶段3: 低拥塞-时间段15
950000 10000 97 112 5 阶段3: 低拥塞-时间段16
960000 10000 90 106 5 阶段3: 低拥塞-时间段17
970000 10000 93 119 5 阶段3: 低拥塞-时间段18
980000 10000 100 113 5 阶段3: 低拥塞-时间段19
990000 10000 92 112 4 阶段3: 低拥塞-时间段20
1000000 10000 98 103 4 阶段3: 低拥塞-时间段21
1010000 10000 100 117 4 阶段3: 低拥塞-时间段22
1020000 10000 100 109 5 阶段3: 低拥塞-时间段23
1030000 10000 100 116 4 阶段3: 低拥塞-时间段24
1040000 10000 94 118 4 阶段3: 低拥塞-时间段25
1050000 10000 91 105 4 阶段3: 低拥塞-时间段26
1060000 10000 100 113 5 阶段3: 低拥塞-时间段27
1070000 10000 96 104 5 阶段3: 低拥塞-时间段28
1080000 10000 91 102 5 阶段3: 低拥塞-时间段29
1090000 10000 93 112 5 阶段3: 低拥塞-时间段30
1100000 10000 100 100 4 阶段3: 低拥塞-时间段31
1110000 10000 91 119 5 阶段3: 低拥塞-时间段32
1120000 10000 92 112 4 阶段3: 低拥塞-时间段33
1130000 10000 100 116 5 阶段3: 低拥塞-时间段34
1140000 10000 100 117 5 阶段3: 低拥塞-时间段35
1150000 10000 100 108 4 阶段3: 低拥塞-时间段36
1160000 10000 100 106 5 阶段3: 低拥塞-时间段37
1170000 10000 95 108 5 阶段3: 低拥塞-时间段38
1180000 10000 100 121 4 阶段3: 低拥塞-时间段39
1190000 10000 100 119 4 阶段3: 低拥塞-时间段40
