# 网络仿真脚本 - 低-中-低拥塞场景
# 总时长: 1200秒 (1200000ms)
# 格式: 开始时间(ms) 持续时间(ms) 带宽(Mbps) 延迟(ms) 丢包率(‰) 描述
#
0 10000 100 163 2 阶段1: 低拥塞-时间段1
10000 10000 100 163 3 阶段1: 低拥塞-时间段2
20000 10000 100 153 2 阶段1: 低拥塞-时间段3
30000 10000 99 152 3 阶段1: 低拥塞-时间段4
40000 10000 94 171 2 阶段1: 低拥塞-时间段5
50000 10000 91 166 3 阶段1: 低拥塞-时间段6
60000 10000 100 168 2 阶段1: 低拥塞-时间段7
70000 10000 90 176 3 阶段1: 低拥塞-时间段8
80000 10000 100 165 3 阶段1: 低拥塞-时间段9
90000 10000 97 156 2 阶段1: 低拥塞-时间段10
100000 10000 100 167 3 阶段1: 低拥塞-时间段11
110000 10000 93 152 3 阶段1: 低拥塞-时间段12
120000 10000 100 179 2 阶段1: 低拥塞-时间段13
130000 10000 96 174 3 阶段1: 低拥塞-时间段14
140000 10000 100 179 2 阶段1: 低拥塞-时间段15
150000 10000 97 171 3 阶段1: 低拥塞-时间段16
160000 10000 96 172 3 阶段1: 低拥塞-时间段17
170000 10000 90 167 3 阶段1: 低拥塞-时间段18
180000 10000 100 180 2 阶段1: 低拥塞-时间段19
190000 10000 100 156 3 阶段1: 低拥塞-时间段20
200000 10000 91 165 3 阶段1: 低拥塞-时间段21
210000 10000 90 165 3 阶段1: 低拥塞-时间段22
220000 10000 100 177 2 阶段1: 低拥塞-时间段23
230000 10000 90 178 2 阶段1: 低拥塞-时间段24
240000 10000 100 168 2 阶段1: 低拥塞-时间段25
250000 10000 100 185 3 阶段1: 低拥塞-时间段26
260000 10000 90 177 2 阶段1: 低拥塞-时间段27
270000 10000 100 169 3 阶段1: 低拥塞-时间段28
280000 10000 90 159 2 阶段1: 低拥塞-时间段29
290000 10000 97 154 3 阶段1: 低拥塞-时间段30
300000 10000 100 153 3 阶段1: 低拥塞-时间段31
310000 10000 93 155 3 阶段1: 低拥塞-时间段32
320000 10000 100 165 2 阶段1: 低拥塞-时间段33
330000 10000 100 175 3 阶段1: 低拥塞-时间段34
340000 10000 90 172 2 阶段1: 低拥塞-时间段35
350000 10000 97 169 2 阶段1: 低拥塞-时间段36
360000 10000 100 182 3 阶段1: 低拥塞-时间段37
370000 10000 95 155 3 阶段1: 低拥塞-时间段38
380000 10000 95 158 3 阶段1: 低拥塞-时间段39
390000 10000 90 170 3 阶段1: 低拥塞-时间段40
400000 10000 80 271 24 阶段2: 中拥塞-时间段1
410000 10000 85 242 24 阶段2: 中拥塞-时间段2
420000 10000 87 270 23 阶段2: 中拥塞-时间段3
430000 10000 88 234 24 阶段2: 中拥塞-时间段4
440000 10000 81 208 23 阶段2: 中拥塞-时间段5
450000 10000 80 213 21 阶段2: 中拥塞-时间段6
460000 10000 80 250 27 阶段2: 中拥塞-时间段7
470000 10000 80 267 25 阶段2: 中拥塞-时间段8
480000 10000 82 249 22 阶段2: 中拥塞-时间段9
