# 网络仿真脚本 - 中-高-中拥塞场景
# 总时长: 1200秒 (1200000ms)
# 格式: 开始时间(ms) 持续时间(ms) 带宽(Mbps) 延迟(ms) 丢包率(‰) 描述
#
0 10000 90 393 41 阶段1: 中拥塞-时间段1
10000 10000 81 400 41 阶段1: 中拥塞-时间段2
20000 10000 80 350 37 阶段1: 中拥塞-时间段3
30000 10000 80 336 40 阶段1: 中拥塞-时间段4
40000 10000 90 400 39 阶段1: 中拥塞-时间段5
50000 10000 90 327 40 阶段1: 中拥塞-时间段6
60000 10000 90 400 45 阶段1: 中拥塞-时间段7
70000 10000 90 366 41 阶段1: 中拥塞-时间段8
80000 10000 88 374 47 阶段1: 中拥塞-时间段9
90000 10000 90 394 37 阶段1: 中拥塞-时间段10
100000 10000 90 329 49 阶段1: 中拥塞-时间段11
110000 10000 90 400 42 阶段1: 中拥塞-时间段12
120000 10000 90 338 41 阶段1: 中拥塞-时间段13
130000 10000 80 350 48 阶段1: 中拥塞-时间段14
140000 10000 90 373 41 阶段1: 中拥塞-时间段15
150000 10000 90 379 37 阶段1: 中拥塞-时间段16
160000 10000 90 330 38 阶段1: 中拥塞-时间段17
170000 10000 90 351 39 阶段1: 中拥塞-时间段18
180000 10000 90 389 43 阶段1: 中拥塞-时间段19
190000 10000 90 339 43 阶段1: 中拥塞-时间段20
200000 10000 90 326 42 阶段1: 中拥塞-时间段21
210000 10000 80 345 39 阶段1: 中拥塞-时间段22
220000 10000 80 372 44 阶段1: 中拥塞-时间段23
230000 10000 82 380 40 阶段1: 中拥塞-时间段24
240000 10000 90 326 48 阶段1: 中拥塞-时间段25
250000 10000 85 358 42 阶段1: 中拥塞-时间段26
260000 10000 90 400 40 阶段1: 中拥塞-时间段27
270000 10000 90 323 41 阶段1: 中拥塞-时间段28
280000 10000 89 329 44 阶段1: 中拥塞-时间段29
290000 10000 80 356 49 阶段1: 中拥塞-时间段30
300000 10000 80 360 44 阶段1: 中拥塞-时间段31
310000 10000 81 400 43 阶段1: 中拥塞-时间段32
320000 10000 80 379 44 阶段1: 中拥塞-时间段33
330000 10000 90 318 45 阶段1: 中拥塞-时间段34
340000 10000 90 392 43 阶段1: 中拥塞-时间段35
350000 10000 80 355 44 阶段1: 中拥塞-时间段36
360000 10000 81 326 39 阶段1: 中拥塞-时间段37
370000 10000 90 400 49 阶段1: 中拥塞-时间段38
380000 10000 90 400 38 阶段1: 中拥塞-时间段39
390000 10000 90 392 41 阶段1: 中拥塞-时间段40
400000 10000 73 450 82 阶段2: 高拥塞-时间段1
410000 10000 78 402 94 阶段2: 高拥塞-时间段2
420000 10000 70 458 85 阶段2: 高拥塞-时间段3
430000 10000 80 477 91 阶段2: 高拥塞-时间段4
440000 10000 70 400 115 阶段2: 高拥塞-时间段5
450000 10000 80 511 103 阶段2: 高拥塞-时间段6
460000 10000 70 400 121 阶段2: 高拥塞-时间段7
470000 10000 80 486 118 阶段2: 高拥塞-时间段8
480000 10000 70 468 85 阶段2: 高拥塞-时间段9
490000 10000 75 400 88 阶段2: 高拥塞-时间段10
500000 10000 73 497 114 阶段2: 高拥塞-时间段11
510000 10000 78 500 93 阶段2: 高拥塞-时间段12
520000 10000 75 521 109 阶段2: 高拥塞-时间段13
530000 10000 80 451 82 阶段2: 高拥塞-时间段14
540000 10000 80 400 119 阶段2: 高拥塞-时间段15
550000 10000 80 437 99 阶段2: 高拥塞-时间段16
560000 10000 75 424 116 阶段2: 高拥塞-时间段17
570000 10000 70 457 111 阶段2: 高拥塞-时间段18
580000 10000 70 484 99 阶段2: 高拥塞-时间段19
590000 10000 75 482 84 阶段2: 高拥塞-时间段20
600000 10000 70 400 111 阶段2: 高拥塞-时间段21
610000 10000 78 472 110 阶段2: 高拥塞-时间段22
620000 10000 75 514 104 阶段2: 高拥塞-时间段23
630000 10000 77 400 96 阶段2: 高拥塞-时间段24
640000 10000 70 400 98 阶段2: 高拥塞-时间段25
650000 10000 80 400 91 阶段2: 高拥塞-时间段26
660000 10000 80 472 95 阶段2: 高拥塞-时间段27
670000 10000 79 498 117 阶段2: 高拥塞-时间段28
680000 10000 80 400 107 阶段2: 高拥塞-时间段29
690000 10000 80 427 115 阶段2: 高拥塞-时间段30
700000 10000 80 400 112 阶段2: 高拥塞-时间段31
710000 10000 80 433 88 阶段2: 高拥塞-时间段32
720000 10000 80 449 90 阶段2: 高拥塞-时间段33
730000 10000 78 514 114 阶段2: 高拥塞-时间段34
740000 10000 78 482 98 阶段2: 高拥塞-时间段35
750000 10000 70 453 88 阶段2: 高拥塞-时间段36
760000 10000 80 400 89 阶段2: 高拥塞-时间段37
770000 10000 74 460 88 阶段2: 高拥塞-时间段38
780000 10000 80 440 99 阶段2: 高拥塞-时间段39
790000 10000 76 425 102 阶段2: 高拥塞-时间段40
800000 10000 81 359 34 阶段3: 中拥塞-时间段1
810000 10000 80 372 35 阶段3: 中拥塞-时间段2
820000 10000 90 345 30 阶段3: 中拥塞-时间段3
830000 10000 85 382 30 阶段3: 中拥塞-时间段4
840000 10000 83 400 32 阶段3: 中拥塞-时间段5
850000 10000 90 400 31 阶段3: 中拥塞-时间段6
860000 10000 80 338 33 阶段3: 中拥塞-时间段7
870000 10000 84 363 35 阶段3: 中拥塞-时间段8
880000 10000 82 382 32 阶段3: 中拥塞-时间段9
890000 10000 90 400 31 阶段3: 中拥塞-时间段10
900000 10000 83 400 30 阶段3: 中拥塞-时间段11
910000 10000 90 400 35 阶段3: 中拥塞-时间段12
920000 10000 89 396 36 阶段3: 中拥塞-时间段13
930000 10000 81 392 34 阶段3: 中拥塞-时间段14
940000 10000 90 343 35 阶段3: 中拥塞-时间段15
950000 10000 90 362 37 阶段3: 中拥塞-时间段16
960000 10000 80 362 34 阶段3: 中拥塞-时间段17
970000 10000 90 353 34 阶段3: 中拥塞-时间段18
980000 10000 90 359 34 阶段3: 中拥塞-时间段19
990000 10000 80 400 36 阶段3: 中拥塞-时间段20
1000000 10000 90 332 34 阶段3: 中拥塞-时间段21
1010000 10000 90 391 36 阶段3: 中拥塞-时间段22
1020000 10000 90 357 35 阶段3: 中拥塞-时间段23
1030000 10000 88 320 35 阶段3: 中拥塞-时间段24
1040000 10000 88 330 33 阶段3: 中拥塞-时间段25
