# 网络仿真脚本 - 正常-高-正常场景
# 总时长: 1200秒 (1200000ms)
# 格式: 开始时间(ms) 持续时间(ms) 带宽(Mbps) 延迟(ms) 丢包率(‰) 描述
#
0 10000 113 80 0 阶段1: 正常网络-时间段1
10000 10000 116 77 0 阶段1: 正常网络-时间段2
20000 10000 115 73 0 阶段1: 正常网络-时间段3
30000 10000 109 74 0 阶段1: 正常网络-时间段4
40000 10000 115 78 0 阶段1: 正常网络-时间段5
50000 10000 112 73 0 阶段1: 正常网络-时间段6
60000 10000 115 79 0 阶段1: 正常网络-时间段7
70000 10000 113 73 0 阶段1: 正常网络-时间段8
80000 10000 109 78 0 阶段1: 正常网络-时间段9
90000 10000 109 73 0 阶段1: 正常网络-时间段10
100000 10000 106 75 0 阶段1: 正常网络-时间段11
110000 10000 108 73 0 阶段1: 正常网络-时间段12
120000 10000 110 77 0 阶段1: 正常网络-时间段13
130000 10000 109 79 0 阶段1: 正常网络-时间段14
140000 10000 106 77 0 阶段1: 正常网络-时间段15
150000 10000 116 74 0 阶段1: 正常网络-时间段16
160000 10000 106 74 0 阶段1: 正常网络-时间段17
170000 10000 112 79 0 阶段1: 正常网络-时间段18
180000 10000 113 78 0 阶段1: 正常网络-时间段19
190000 10000 110 74 0 阶段1: 正常网络-时间段20
200000 10000 112 74 0 阶段1: 正常网络-时间段21
210000 10000 110 80 0 阶段1: 正常网络-时间段22
220000 10000 106 79 0 阶段1: 正常网络-时间段23
230000 10000 114 77 0 阶段1: 正常网络-时间段24
240000 10000 107 77 0 阶段1: 正常网络-时间段25
250000 10000 115 74 0 阶段1: 正常网络-时间段26
260000 10000 107 80 0 阶段1: 正常网络-时间段27
270000 10000 110 78 0 阶段1: 正常网络-时间段28
280000 10000 112 75 0 阶段1: 正常网络-时间段29
290000 10000 108 77 0 阶段1: 正常网络-时间段30
300000 10000 110 74 0 阶段1: 正常网络-时间段31
310000 10000 108 80 0 阶段1: 正常网络-时间段32
320000 10000 114 74 0 阶段1: 正常网络-时间段33
330000 10000 113 79 0 阶段1: 正常网络-时间段34
340000 10000 114 79 0 阶段1: 正常网络-时间段35
350000 10000 117 75 0 阶段1: 正常网络-时间段36
360000 10000 108 80 0 阶段1: 正常网络-时间段37
370000 10000 112 79 0 阶段1: 正常网络-时间段38
380000 10000 114 78 0 阶段1: 正常网络-时间段39
390000 10000 107 76 0 阶段1: 正常网络-时间段40
400000 10000 70 543 87 阶段2: 高拥塞-时间段1
410000 10000 70 600 103 阶段2: 高拥塞-时间段2
420000 10000 70 566 92 阶段2: 高拥塞-时间段3
430000 10000 80 511 85 阶段2: 高拥塞-时间段4
440000 10000 70 561 89 阶段2: 高拥塞-时间段5
450000 10000 70 600 86 阶段2: 高拥塞-时间段6
460000 10000 80 546 88 阶段2: 高拥塞-时间段7
470000 10000 70 548 86 阶段2: 高拥塞-时间段8
480000 10000 70 484 95 阶段2: 高拥塞-时间段9
490000 10000 80 495 103 阶段2: 高拥塞-时间段10
500000 10000 75 497 101 阶段2: 高拥塞-时间段11
510000 10000 79 571 95 阶段2: 高拥塞-时间段12
520000 10000 70 472 101 阶段2: 高拥塞-时间段13
530000 10000 71 600 92 阶段2: 高拥塞-时间段14
540000 10000 78 587 100 阶段2: 高拥塞-时间段15
550000 10000 80 517 83 阶段2: 高拥塞-时间段16
560000 10000 70 597 76 阶段2: 高拥塞-时间段17
570000 10000 70 504 76 阶段2: 高拥塞-时间段18
580000 10000 70 600 95 阶段2: 高拥塞-时间段19
590000 10000 71 600 105 阶段2: 高拥塞-时间段20
600000 10000 80 584 93 阶段2: 高拥塞-时间段21
610000 10000 76 547 71 阶段2: 高拥塞-时间段22
620000 10000 77 600 97 阶段2: 高拥塞-时间段23
630000 10000 80 585 105 阶段2: 高拥塞-时间段24
640000 10000 70 600 93 阶段2: 高拥塞-时间段25
650000 10000 70 600 89 阶段2: 高拥塞-时间段26
660000 10000 80 588 71 阶段2: 高拥塞-时间段27
670000 10000 70 445 92 阶段2: 高拥塞-时间段28
680000 10000 70 600 90 阶段2: 高拥塞-时间段29
690000 10000 70 600 96 阶段2: 高拥塞-时间段30
700000 10000 70 509 101 阶段2: 高拥塞-时间段31
710000 10000 70 507 102 阶段2: 高拥塞-时间段32
720000 10000 75 497 102 阶段2: 高拥塞-时间段33
730000 10000 80 578 96 阶段2: 高拥塞-时间段34
740000 10000 70 473 95 阶段2: 高拥塞-时间段35
750000 10000 70 600 95 阶段2: 高拥塞-时间段36
760000 10000 70 536 102 阶段2: 高拥塞-时间段37
770000 10000 80 594 98 阶段2: 高拥塞-时间段38
780000 10000 70 540 97 阶段2: 高拥塞-时间段39
790000 10000 70 600 97 阶段2: 高拥塞-时间段40
800000 10000 111 88 0 阶段3: 正常网络-时间段1
810000 10000 110 82 0 阶段3: 正常网络-时间段2
820000 10000 110 81 0 阶段3: 正常网络-时间段3
830000 10000 109 86 0 阶段3: 正常网络-时间段4
840000 10000 111 81 0 阶段3: 正常网络-时间段5
850000 10000 110 85 0 阶段3: 正常网络-时间段6
860000 10000 107 87 0 阶段3: 正常网络-时间段7
870000 10000 112 86 0 阶段3: 正常网络-时间段8
880000 10000 113 86 0 阶段3: 正常网络-时间段9
890000 10000 109 87 0 阶段3: 正常网络-时间段10
900000 10000 110 87 0 阶段3: 正常网络-时间段11
910000 10000 114 82 0 阶段3: 正常网络-时间段12
920000 10000 109 85 0 阶段3: 正常网络-时间段13
930000 10000 114 85 0 阶段3: 正常网络-时间段14
940000 10000 114 82 0 阶段3: 正常网络-时间段15
950000 10000 114 88 0 阶段3: 正常网络-时间段16
960000 10000 113 83 0 阶段3: 正常网络-时间段17
970000 10000 116 83 0 阶段3: 正常网络-时间段18
980000 10000 106 82 0 阶段3: 正常网络-时间段19
990000 10000 111 84 0 阶段3: 正常网络-时间段20
1000000 10000 112 81 0 阶段3: 正常网络-时间段21
1010000 10000 109 87 0 阶段3: 正常网络-时间段22
1020000 10000 106 81 0 阶段3: 正常网络-时间段23
1030000 10000 110 81 0 阶段3: 正常网络-时间段24
1040000 10000 116 85 0 阶段3: 正常网络-时间段25
1050000 10000 115 88 0 阶段3: 正常网络-时间段26
1060000 10000 106 84 0 阶段3: 正常网络-时间段27
1070000 10000 114 83 0 阶段3: 正常网络-时间段28
1080000 10000 112 81 0 阶段3: 正常网络-时间段29
1090000 10000 110 84 0 阶段3: 正常网络-时间段30
1100000 10000 107 89 0 阶段3: 正常网络-时间段31
