# 网络仿真脚本 - 逐步恢复场景
# 总时长: 1200秒 (1200000ms)
# 格式: 开始时间(ms) 持续时间(ms) 带宽(Mbps) 延迟(ms) 丢包率(‰) 描述
#
0 10000 80 412 134 阶段1: 高拥塞-时间段1
10000 10000 76 400 181 阶段1: 高拥塞-时间段2
20000 10000 70 401 176 阶段1: 高拥塞-时间段3
30000 10000 80 436 140 阶段1: 高拥塞-时间段4
40000 10000 80 458 177 阶段1: 高拥塞-时间段5
50000 10000 70 462 154 阶段1: 高拥塞-时间段6
60000 10000 80 408 169 阶段1: 高拥塞-时间段7
70000 10000 80 458 186 阶段1: 高拥塞-时间段8
80000 10000 80 411 145 阶段1: 高拥塞-时间段9
90000 10000 80 400 191 阶段1: 高拥塞-时间段10
100000 10000 70 400 135 阶段1: 高拥塞-时间段11
110000 10000 78 400 190 阶段1: 高拥塞-时间段12
120000 10000 80 400 188 阶段1: 高拥塞-时间段13
130000 10000 80 409 173 阶段1: 高拥塞-时间段14
140000 10000 80 400 152 阶段1: 高拥塞-时间段15
150000 10000 78 428 186 阶段1: 高拥塞-时间段16
160000 10000 80 400 134 阶段1: 高拥塞-时间段17
170000 10000 80 400 193 阶段1: 高拥塞-时间段18
180000 10000 70 400 154 阶段1: 高拥塞-时间段19
190000 10000 80 400 133 阶段1: 高拥塞-时间段20
200000 10000 70 510 146 阶段1: 高拥塞-时间段21
210000 10000 70 502 167 阶段1: 高拥塞-时间段22
220000 10000 80 446 169 阶段1: 高拥塞-时间段23
230000 10000 70 496 159 阶段1: 高拥塞-时间段24
240000 10000 79 422 155 阶段1: 高拥塞-时间段25
250000 10000 70 487 140 阶段1: 高拥塞-时间段26
260000 10000 70 406 146 阶段1: 高拥塞-时间段27
270000 10000 70 478 191 阶段1: 高拥塞-时间段28
280000 10000 80 440 165 阶段1: 高拥塞-时间段29
290000 10000 80 400 172 阶段1: 高拥塞-时间段30
300000 10000 80 400 136 阶段1: 高拥塞-时间段31
310000 10000 78 400 180 阶段1: 高拥塞-时间段32
320000 10000 80 466 134 阶段1: 高拥塞-时间段33
330000 10000 79 403 153 阶段1: 高拥塞-时间段34
340000 10000 78 466 142 阶段1: 高拥塞-时间段35
350000 10000 80 400 158 阶段1: 高拥塞-时间段36
360000 10000 70 400 184 阶段1: 高拥塞-时间段37
370000 10000 74 473 171 阶段1: 高拥塞-时间段38
380000 10000 70 400 168 阶段1: 高拥塞-时间段39
390000 10000 80 400 143 阶段1: 高拥塞-时间段40
400000 10000 80 341 40 阶段2: 中拥塞-时间段1
410000 10000 84 393 41 阶段2: 中拥塞-时间段2
420000 10000 90 400 49 阶段2: 中拥塞-时间段3
430000 10000 80 320 45 阶段2: 中拥塞-时间段4
440000 10000 90 400 42 阶段2: 中拥塞-时间段5
450000 10000 80 364 46 阶段2: 中拥塞-时间段6
460000 10000 88 385 36 阶段2: 中拥塞-时间段7
470000 10000 81 355 37 阶段2: 中拥塞-时间段8
480000 10000 83 322 38 阶段2: 中拥塞-时间段9
490000 10000 80 348 41 阶段2: 中拥塞-时间段10
500000 10000 90 399 41 阶段2: 中拥塞-时间段11
510000 10000 85 400 41 阶段2: 中拥塞-时间段12
520000 10000 90 400 45 阶段2: 中拥塞-时间段13
530000 10000 90 400 43 阶段2: 中拥塞-时间段14
540000 10000 88 340 43 阶段2: 中拥塞-时间段15
550000 10000 80 374 48 阶段2: 中拥塞-时间段16
560000 10000 89 336 43 阶段2: 中拥塞-时间段17
570000 10000 88 363 45 阶段2: 中拥塞-时间段18
580000 10000 84 368 43 阶段2: 中拥塞-时间段19
590000 10000 90 317 40 阶段2: 中拥塞-时间段20
600000 10000 90 362 36 阶段2: 中拥塞-时间段21
610000 10000 80 388 45 阶段2: 中拥塞-时间段22
620000 10000 90 337 43 阶段2: 中拥塞-时间段23
630000 10000 80 315 43 阶段2: 中拥塞-时间段24
640000 10000 80 369 37 阶段2: 中拥塞-时间段25
650000 10000 90 393 47 阶段2: 中拥塞-时间段26
660000 10000 90 400 40 阶段2: 中拥塞-时间段27
670000 10000 80 400 44 阶段2: 中拥塞-时间段28
680000 10000 90 377 38 阶段2: 中拥塞-时间段29
690000 10000 90 400 38 阶段2: 中拥塞-时间段30
700000 10000 83 375 45 阶段2: 中拥塞-时间段31
710000 10000 90 323 48 阶段2: 中拥塞-时间段32
720000 10000 90 317 37 阶段2: 中拥塞-时间段33
730000 10000 90 388 37 阶段2: 中拥塞-时间段34
740000 10000 80 400 43 阶段2: 中拥塞-时间段35
750000 10000 90 361 42 阶段2: 中拥塞-时间段36
760000 10000 86 381 44 阶段2: 中拥塞-时间段37
770000 10000 90 377 44 阶段2: 中拥塞-时间段38
780000 10000 90 358 44 阶段2: 中拥塞-时间段39
790000 10000 81 389 36 阶段2: 中拥塞-时间段40
800000 10000 100 177 2 阶段3: 低拥塞-时间段1
810000 10000 100 177 2 阶段3: 低拥塞-时间段2
820000 10000 90 172 2 阶段3: 低拥塞-时间段3
830000 10000 100 179 2 阶段3: 低拥塞-时间段4
840000 10000 90 167 2 阶段3: 低拥塞-时间段5
850000 10000 97 178 2 阶段3: 低拥塞-时间段6
860000 10000 96 183 2 阶段3: 低拥塞-时间段7
870000 10000 96 165 2 阶段3: 低拥塞-时间段8
880000 10000 95 178 2 阶段3: 低拥塞-时间段9
890000 10000 90 186 2 阶段3: 低拥塞-时间段10
900000 10000 100 182 2 阶段3: 低拥塞-时间段11
910000 10000 100 185 2 阶段3: 低拥塞-时间段12
920000 10000 100 177 2 阶段3: 低拥塞-时间段13
930000 10000 99 177 2 阶段3: 低拥塞-时间段14
940000 10000 91 161 2 阶段3: 低拥塞-时间段15
950000 10000 100 166 2 阶段3: 低拥塞-时间段16
960000 10000 100 162 2 阶段3: 低拥塞-时间段17
970000 10000 95 175 2 阶段3: 低拥塞-时间段18
980000 10000 100 181 2 阶段3: 低拥塞-时间段19
990000 10000 90 175 2 阶段3: 低拥塞-时间段20
1000000 10000 97 187 2 阶段3: 低拥塞-时间段21
1010000 10000 100 189 2 阶段3: 低拥塞-时间段22
1020000 10000 100 182 2 阶段3: 低拥塞-时间段23
1030000 10000 93 167 2 阶段3: 低拥塞-时间段24
1040000 10000 98 168 2 阶段3: 低拥塞-时间段25
1050000 10000 90 172 2 阶段3: 低拥塞-时间段26
1060000 10000 90 179 2 阶段3: 低拥塞-时间段27
1070000 10000 93 164 2 阶段3: 低拥塞-时间段28
1080000 10000 100 195 2 阶段3: 低拥塞-时间段29
1090000 10000 90 183 2 阶段3: 低拥塞-时间段30
1100000 10000 100 179 2 阶段3: 低拥塞-时间段31
1110000 10000 90 176 2 阶段3: 低拥塞-时间段32
1120000 10000 96 177 2 阶段3: 低拥塞-时间段33
1130000 10000 90 177 2 阶段3: 低拥塞-时间段34
1140000 10000 90 165 2 阶段3: 低拥塞-时间段35
1150000 10000 100 186 2 阶段3: 低拥塞-时间段36
1160000 10000 100 194 2 阶段3: 低拥塞-时间段37
1170000 10000 98 195 2 阶段3: 低拥塞-时间段38
1180000 10000 90 173 2 阶段3: 低拥塞-时间段39
1190000 10000 90 169 2 阶段3: 低拥塞-时间段40
