# 网络仿真脚本 - 逐步恶化场景
# 总时长: 1200秒 (1200000ms)
# 格式: 开始时间(ms) 持续时间(ms) 带宽(Mbps) 延迟(ms) 丢包率(‰) 描述
#
0 10000 90 159 6 阶段1: 低拥塞-时间段1
10000 10000 90 163 6 阶段1: 低拥塞-时间段2
20000 10000 99 158 6 阶段1: 低拥塞-时间段3
30000 10000 94 158 5 阶段1: 低拥塞-时间段4
40000 10000 93 153 5 阶段1: 低拥塞-时间段5
50000 10000 95 151 6 阶段1: 低拥塞-时间段6
60000 10000 90 144 6 阶段1: 低拥塞-时间段7
70000 10000 93 141 6 阶段1: 低拥塞-时间段8
80000 10000 94 151 5 阶段1: 低拥塞-时间段9
90000 10000 98 158 6 阶段1: 低拥塞-时间段10
100000 10000 98 140 5 阶段1: 低拥塞-时间段11
110000 10000 100 148 6 阶段1: 低拥塞-时间段12
120000 10000 92 165 6 阶段1: 低拥塞-时间段13
130000 10000 92 145 6 阶段1: 低拥塞-时间段14
140000 10000 90 139 6 阶段1: 低拥塞-时间段15
150000 10000 100 162 5 阶段1: 低拥塞-时间段16
160000 10000 90 142 6 阶段1: 低拥塞-时间段17
170000 10000 90 160 5 阶段1: 低拥塞-时间段18
180000 10000 96 145 5 阶段1: 低拥塞-时间段19
190000 10000 90 144 6 阶段1: 低拥塞-时间段20
200000 10000 90 148 5 阶段1: 低拥塞-时间段21
210000 10000 90 162 5 阶段1: 低拥塞-时间段22
220000 10000 100 138 6 阶段1: 低拥塞-时间段23
230000 10000 90 154 5 阶段1: 低拥塞-时间段24
240000 10000 96 158 6 阶段1: 低拥塞-时间段25
250000 10000 90 145 5 阶段1: 低拥塞-时间段26
260000 10000 90 164 6 阶段1: 低拥塞-时间段27
270000 10000 90 158 5 阶段1: 低拥塞-时间段28
280000 10000 90 145 5 阶段1: 低拥塞-时间段29
290000 10000 96 160 6 阶段1: 低拥塞-时间段30
300000 10000 94 164 5 阶段1: 低拥塞-时间段31
310000 10000 91 160 5 阶段1: 低拥塞-时间段32
320000 10000 90 143 6 阶段1: 低拥塞-时间段33
330000 10000 99 151 5 阶段1: 低拥塞-时间段34
340000 10000 97 140 5 阶段1: 低拥塞-时间段35
350000 10000 90 153 6 阶段1: 低拥塞-时间段36
360000 10000 90 152 6 阶段1: 低拥塞-时间段37
370000 10000 96 140 6 阶段1: 低拥塞-时间段38
380000 10000 90 161 6 阶段1: 低拥塞-时间段39
390000 10000 90 138 5 阶段1: 低拥塞-时间段40
400000 10000 82 206 17 阶段2: 中拥塞-时间段1
410000 10000 90 211 13 阶段2: 中拥塞-时间段2
420000 10000 83 236 15 阶段2: 中拥塞-时间段3
430000 10000 80 230 17 阶段2: 中拥塞-时间段4
440000 10000 84 255 16 阶段2: 中拥塞-时间段5
450000 10000 80 226 15 阶段2: 中拥塞-时间段6
460000 10000 81 232 14 阶段2: 中拥塞-时间段7
470000 10000 80 247 16 阶段2: 中拥塞-时间段8
480000 10000 81 233 14 阶段2: 中拥塞-时间段9
490000 10000 80 219 16 阶段2: 中拥塞-时间段10
500000 10000 84 200 17 阶段2: 中拥塞-时间段11
510000 10000 90 200 15 阶段2: 中拥塞-时间段12
520000 10000 81 201 15 阶段2: 中拥塞-时间段13
530000 10000 90 246 16 阶段2: 中拥塞-时间段14
540000 10000 80 200 13 阶段2: 中拥塞-时间段15
550000 10000 82 256 16 阶段2: 中拥塞-时间段16
560000 10000 80 205 17 阶段2: 中拥塞-时间段17
570000 10000 87 232 16 阶段2: 中拥塞-时间段18
580000 10000 80 258 14 阶段2: 中拥塞-时间段19
590000 10000 90 233 14 阶段2: 中拥塞-时间段20
600000 10000 90 238 16 阶段2: 中拥塞-时间段21
610000 10000 90 200 17 阶段2: 中拥塞-时间段22
620000 10000 90 209 17 阶段2: 中拥塞-时间段23
630000 10000 90 255 17 阶段2: 中拥塞-时间段24
640000 10000 88 258 15 阶段2: 中拥塞-时间段25
650000 10000 80 239 13 阶段2: 中拥塞-时间段26
660000 10000 80 256 17 阶段2: 中拥塞-时间段27
670000 10000 80 216 16 阶段2: 中拥塞-时间段28
680000 10000 90 252 15 阶段2: 中拥塞-时间段29
690000 10000 83 215 14 阶段2: 中拥塞-时间段30
700000 10000 80 231 15 阶段2: 中拥塞-时间段31
710000 10000 80 209 17 阶段2: 中拥塞-时间段32
720000 10000 80 227 15 阶段2: 中拥塞-时间段33
730000 10000 89 206 16 阶段2: 中拥塞-时间段34
740000 10000 83 220 14 阶段2: 中拥塞-时间段35
750000 10000 80 256 15 阶段2: 中拥塞-时间段36
760000 10000 90 251 13 阶段2: 中拥塞-时间段37
770000 10000 83 225 15 阶段2: 中拥塞-时间段38
780000 10000 87 208 17 阶段2: 中拥塞-时间段39
790000 10000 86 257 16 阶段2: 中拥塞-时间段40
800000 10000 72 600 198 阶段3: 高拥塞-时间段1
810000 10000 70 500 200 阶段3: 高拥塞-时间段2
820000 10000 70 426 200 阶段3: 高拥塞-时间段3
830000 10000 80 600 200 阶段3: 高拥塞-时间段4
840000 10000 80 600 167 阶段3: 高拥塞-时间段5
850000 10000 80 559 200 阶段3: 高拥塞-时间段6
860000 10000 76 600 173 阶段3: 高拥塞-时间段7
870000 10000 70 467 178 阶段3: 高拥塞-时间段8
880000 10000 70 549 195 阶段3: 高拥塞-时间段9
890000 10000 80 427 200 阶段3: 高拥塞-时间段10
900000 10000 80 431 189 阶段3: 高拥塞-时间段11
910000 10000 76 600 200 阶段3: 高拥塞-时间段12
920000 10000 70 486 185 阶段3: 高拥塞-时间段13
930000 10000 78 589 148 阶段3: 高拥塞-时间段14
940000 10000 80 491 200 阶段3: 高拥塞-时间段15
950000 10000 70 565 150 阶段3: 高拥塞-时间段16
960000 10000 80 490 163 阶段3: 高拥塞-时间段17
970000 10000 70 536 161 阶段3: 高拥塞-时间段18
980000 10000 70 502 199 阶段3: 高拥塞-时间段19
990000 10000 80 443 190 阶段3: 高拥塞-时间段20
1000000 10000 70 516 200 阶段3: 高拥塞-时间段21
1010000 10000 70 453 200 阶段3: 高拥塞-时间段22
1020000 10000 73 533 174 阶段3: 高拥塞-时间段23
1030000 10000 70 527 178 阶段3: 高拥塞-时间段24
1040000 10000 70 478 163 阶段3: 高拥塞-时间段25
1050000 10000 80 480 149 阶段3: 高拥塞-时间段26
1060000 10000 70 482 167 阶段3: 高拥塞-时间段27
1070000 10000 80 446 199 阶段3: 高拥塞-时间段28
1080000 10000 75 589 159 阶段3: 高拥塞-时间段29
1090000 10000 70 463 168 阶段3: 高拥塞-时间段30
1100000 10000 70 511 195 阶段3: 高拥塞-时间段31
1110000 10000 73 433 197 阶段3: 高拥塞-时间段32
1120000 10000 70 591 200 阶段3: 高拥塞-时间段33
1130000 10000 80 546 160 阶段3: 高拥塞-时间段34
1140000 10000 70 505 175 阶段3: 高拥塞-时间段35
1150000 10000 80 546 173 阶段3: 高拥塞-时间段36
1160000 10000 78 514 200 阶段3: 高拥塞-时间段37
1170000 10000 80 590 163 阶段3: 高拥塞-时间段38
1180000 10000 80 483 186 阶段3: 高拥塞-时间段39
1190000 10000 73 433 164 阶段3: 高拥塞-时间段40
